Pregunta, Categoría, Subcategoría
¿Cómo lo doy de alta?,inicio servicio,requisitos a cumplir
¿Cuál es el proceso para validarlo?,termino servicio ,documentos para concluir
¿Dónde puedo checar que tenga convenio la institución en la que quiero hacerlo con la UNAM?, inicio servicio, Lugar donde relaizar el servicio
"Si no se registra a tiempo,  ¿tengo que repetirlo?",ventanilla virtual preguntas frecuentes,sobre tramite de inicio
¿Cuántas horas son?, inicio servicio, Requisitos a cumplir
¿De qué depende la validación de mi servicio?,termino servicio ,constancia de autorizacion de servicio
¿A partir de cuántos créditos puedo iniciarlo?, inicio servicio, Requisitos a cumplir
¿Cuánto tiempo debo cumplir?, inicio servicio, Tiempo para cumplir el servicio
¿Cuántas horas al día tengo que realizar?, inicio servicio, Tiempo para cumplir el servicio
¿Qué papeles se entregan en ventanilla?, inicio servicio, Documentos necesarios
¿Dónde puedo ver las vacantes?, inicio servicio, Lugar donde relaizar el servicio
¿Es una opción de titulación?,inicio servicio,requisitos a cumplir
¿El trámite es sencillo o tardado?, ventanilla virtual preguntas frecuentes, tiempo sobre trámite
¿Que labores son consideradas servicio social?,inicio servicio,consideraciones
¿Cuánto dura?, inicio servicio, Tiempo para cumplir el servicio
¿En dónde se puede hacer el servicio social?, inicio servcio, Lugar donde realizar el servicio
¿El servicio social es continuo?,inicio servicio,tiempo para cumplir el servicio
¿Se puede hacer en más de un lugar? ,inicio servicio,consideraciones
¿El servicio social es remunerable? ,inicio servicio,proceso de selección de la institucion
¿Dónde puedo ver los lugares para el servicio?, inicio servcio, Lugar donde relaizar el servicio
¿Qué papeles tengo que entregar para el servicio?, inicio servicio,Documentos necesarios
¿Cómo puedo ver mi progreso de mi sevicio? ,inicio servicio,tiempo para cumplir el servicio
"Al finalizar, ¿tengo que imprimir la carta? ",termino servicio ,recepcion de documentos termino
¿Cómo puedo saber qué servicios pagan? ,inicio servicio,proceso de selección de la institucion
¿Desde cuándo puedo hacer el servicio?, inicio servicio, Requisitos a cumplir
¿Dónde hacerlo?, inicio servicio, Lugar donde relaizar el servicio
¿Cuántas horas se tienen que hacer de servicio social?, inicio servicio, Tiempo para cumplir el servicio
El servicio social es individual o hay mas participantes?,inicio servicio,proceso de selección de la institucion
¿Qué tipos de servicio social existen?,inicio servicio,consideraciones
¿Te pagan por hacer servicio social?,inicio servicio,lugar donde realizar el servicio
¿Cómo registrar una institución que no está en el siass?,inicio servicio,proceso de selección de la institucion
¿Dónde puedo hacerlo?, inicio servicio, Lugar donde realizar el servicio
¿Cuál me da las mejores herramientas para mi práctica profesional?,inicio servicio,consideraciones
¿En cuál puedo abrirme puertas laborales?,inicio servicio,consideraciones
¿En cuál me pueden pagar?,inicio servicio,lugar donde realizar el servicio
¿Lo puedo hacer donde quiera siempre y cuando me acepten en ese lugar?,inicio servicio,lugar donde realizar el servicio
¿Cuáles deben ser las condiciones para que yo lleve a cabo mi servicio? (mis responsabilidades y los de la institución que me acepte),inicio servicio,consideraciones
¿Qué hacer si no me gusta porque no me ponen las actividades que me ofrecían en el programa?,inicio servicio,cancelacion de servicio
¿Cuánto tardan en hacerte valido el servicio?, ventanilla virtual preguntas frecuentes, sobre tramite de inicio
¿Cuál es el primer paso?, inicio servicio, Requisitos a cumplir
¿Hay una página donde se registra el servicio social?, ventanilla virtual preguntas frecuentes, tramites de inicio y término
¿Cuáles son los canales de comunicación para registrar el servicio social? ,ventanilla virtual preguntas frecuentes,tramites de inicio y termino
¿Puedo realizarlo en el sector privado? ,inicio servicio,lugar donde realizar el servicio
¿Cuáles son los requisitos?, inicio servicio, Requisitos a cumplir
¿A quién me dirigo para mandar mi documentación?, inicio servicio, enviar documentos
¿En dónde puedo hacer mi SS?, inicio servicio, Lugar donde relaizar el servicio
¿Cuánto tiempo dura el SS?, inicio servicio, Tiempo para cumplir el servicio
¿Cómo saber si un servicio social es válido?, inicio servicio, Lugar donde relaizar el servicio
¿Me pueden contratar para trabajar de planta una vez terminado el servicio social?,inicio servicio,consideraciones
"Es posible realizar el método de titulación (tesis,tesina, proyecto de investigación, etc) antes de terminar el servicio o incluso de iniciarlo?",ventanilla virtual preguntas frecuentes,tramites de inicio y termino
¿Tengo el perfil para poder ingresar a este servicio?,inicio servicio,consideraciones
¿Cuánto tiempo aproximadamente me darán la carta de aceptación?,ventanilla virtual preguntas frecuentes,tramites de inicio y termino
"¿Que beneficios se tendrán a corto, largo y mediano plazo estando en este servicio?",inicio servicio,consideraciones
En caso de aportar en actividades fuera de los proyectos que pudiese apoyar en tiempos muertes ¿en donde podría encontrarlos?,,
¿Cuál es la dinámica de trabajo?,inicio servicio,proceso de selección de la institucion
¿Cuáles son los requisitos para registrar el servicio social?, inicio servicio, Requisitos a cumplir
¿Cuáles son las fechas para registrar el servicio social?,ventanilla virtual preguntas frecuentes,tramites de inicio y termino
¿Qué porcentaje de créditos debo tener para poder registrar el servicio social?,inicio servicio,requisitos a cumplir
¿Dónde puedo realizar el servicio social?, inicio servicio, Lugar donde relaizar el servicio
¿Cómo elijo a mi asesor/supervisor de servicio social?,inicio servicio,lugar donde realizar el servicio
¿Cómo sé si mi registro de servicio social fue aceptado/válido?, inicio servicio, inicio de servicio autorizado
¿Cómo sé si mi conclusión del servicio social fue exitosa?, término servico social, liberación de servicio
